id,produto,url,scraped,data_cadastro
11,cartucho hp 667 original,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-tricolor-667/p/MLB36752162#polycard_client=search-nordic&searchVariation=MLB36752162&wid=MLB3929212729&position=2&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,1,2025-06-16 03:14:48
12,cartucho hp 667 original,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-colorido-do-2-ml/p/MLB36840204#polycard_client=search-nordic&searchVariation=MLB36840204&wid=MLB5247041942&position=11&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,1,2025-06-16 03:14:48
13,cartucho hp 667 original,https://produto.mercadolivre.com.br/MLB-3837311410-kit-cartuchos-tinta-hp-667-preto-hp-667-color-menor-preco-_JM#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB3837311410&sid=search,1,2025-06-16 03:14:48
14,cartucho hp 667 original,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB38358712#polycard_client=search-nordic&searchVariation=MLB38358712&wid=MLB4697490898&position=10&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,1,2025-06-16 03:14:48
15,cartucho hp 667 original,https://www.mercadolivre.com.br/kit-cartucho-hp-667-preto-e-667-colorido-2376-2776/p/MLB39019456#polycard_client=search-nordic&searchVariation=MLB39019456&wid=MLB5081972264&position=20&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,1,2025-06-16 03:14:48
16,cartucho hp 667 original,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=FkAQ9Po30sQpTo1xlN%2Bq5pH5ygWH%2BgzxXifrsPMY04ZfJfTGb776aOdik1R2MBH%2FJgROsPOxQ5IiH2D%2BwNej52ODGSbDvs6pLEoKSlwlMv5%2F4c5zVVLxZ%2FVytgiUu8BSpf57tCiaWj0T7oJSrRBTDxG0N30d6P74GJNnBlAitR%2BYG98O114pUb5G2cOjzR1tCKbhMav%2F6UFN0jJHRKTz92z7Pf8F%2BuRjsvnflKjrrfiTJjyo23zD%2FXlOKv29PtKVesV0EPWupPIZD%2BJZ7XahUBcdGa2JzlUMvJrT7WAAO10K2aqebYV9QZj6e%2FbVqar4lK402NudkJkcCK70y6fkKRgO7JjzokCrSCMUyNiWn8cTyk9Ov4GlHqZUSgMQJiac6EqFtUyPtyE5%2BvXRBhWyInDL6mMM3XcqagWlgq2CLtw%2F6DJwmeZHu9%2BWOaNnBEDuvuAxCHBfWFhZNag6Z8fnndXckwVvYB5dkYoKF3mdB3tARiw7i7Y6oA4VUBjwroIkh6C11R7K7GJJnKfvdAQg0d8WcahdWG%2B38qNiUes7w7SPf27uIo2fUkj4wUEOUFylHxrNN3fF9BPa%2BHjqcPYMLuCNLbN8HT%2FTpYR3mpa7GbCgjTEjfywv7gpU4a7Np5hPWPpewb43ZyX0DKnSVGohThftaH26TYGE2K%2FbNNwbQwYSeYuR2XgTT2effFeMLsUHHZ5cRcgUqMwhR%2FVGFC5lGYwOuNn0QNTSu1IzKKuWJacuKK%2FbqEFwpj4dvb9vllC%2FJTBixJIIk8FpEYQR%2BeuCRBxP3XQ4vpyyejhDZesy%2BmHFFOHo2Pnpk9GQHblQD984lbl0LV6sDN5hL0LzoMjSD2OkSJ%2FFx8Ty#polycard_client=search-nordic&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB1852251485&sid=search,1,2025-06-16 03:14:48
17,cartucho hp 667 original,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=%2FFTfNovuwK0k91BM1iUu8%2FOevn%2FRIMVwXj%2Bi8%2BtnFb%2FBDFBFHaRaAnr7AiVwGGxou8UkVhll3jXqmyM55DGcBrkNdDpWlzMIvEL3sGQdiOuKFEFbab4ptiSuuml9yYVRJxPwjCROzI7ZKsL7KMe2vvOWc68DdM1ntzAnLgHbz5Linb%2BTk%2FIEujLTqj2PVRj0hsi%2BBEN%2BTtzkDdBDSE%2B%2FhGTwhpUgk15gnMB5GyeUSGciKN5oMcdGWoBLerYRoaY5%2BiqWdkvCFHQyzjjLNc2weTsY%2FH4K%2BdGo0qF6EiO4rS%2BjRaFezx83Ew4YE6vUxrUgwqD6GuYOA7Ad5HXTibiSR46AeYeqX07aMogXLwPOq%2BQQqxMcUJBlqU03e3yJ0us3TBQpY1niIB3k0q41An%2BhwbQF4h50KLNh1qhPWRoUFe4Dduhfk%2BFbRjQ6qV09oV4jpM%2FxZ0cqkcUZ7oX6cY%2BkUCYr6EWMzUO4YP7xdjWVEiYEJXdyAharfAMB0oMenE0UHklTtnMExmkAQQOXGAFcXVOZHQLfUifvoH9%2F%2Bc8%2FlXHBseUOpWvI7QbyYQTn56kEJi8eA1zXiPRIVbnzku8JwnbaQ1PILecF8oQafGlHN1xFfosyjZCVtwTW%2FC5tUMXBzEX2oYEJ0O9aGixdb4tDw1WeZjeI1UGn8x%2FNMTiEY3AM8FEUsBTzzsl%2B6TDRgW%2FTXB18ct9wBigqWMdV9H9ffj8NSF%2FCF%2BnmMSjfwlXtX3ZNzpJQdt4ZHDid9qKs%2FOqym%2B0MbNbqAOhZXy8mkzysAOBe2Y1s7WiaR4BjCmC3e609bPyXkIy6DRx5aqs4epyyRCKEVpduycbSSqCLD8CqQyiASXO1#polycard_client=search-nordic&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB4316298374&sid=search,1,2025-06-16 03:14:48
18,cartucho hp 667 original,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=NJ%2BZNkkZWaaMFbMGVn9oleGJtpCBlen3IpljpVig8ysodMv4GMDFDMV%2BeX8xydxKghsvSGYDGckTrLJQHkopfyYmib%2F6W9kcpls9QFGSYxr1bOZYDps9DOuiLMhZI8cjtvzk%2FjJ93KhTgnYQAOatKzPjeskA5LTS9%2Bfk7JQw50Fbm%2F5LP87kKcV0JCzCgeDVjILthADfK72oEt2YKPDitDd6VrbZ1dYILWinHrT65h19a01LiZP%2Bi%2FAhKjpFkZtpjjPj22130stFFlI3xELRDgTNhghW41x6aFxh6ZmwmaGPtkk85ugJWBBa1eoZkaEqht7YXiM4KTD2%2BbrIVqnm4AcmoW0fRwzgMiqophB9REBxX6XCARMIvMzkoQwoLtGd4gjLuIEgSOupdQbBBcc74c61qJHtoHear57ePEe5u0FGgyiwh6Q3sal7D9G3duEmM%2FLNAU6lMU43ITmLrGQtb%2FMe2oq7WG3igQqOLEpgwOdT1ufHYGz4P3C%2F8pVnxCY3qRrWvNKfjIyaDn1%2BYBS8GznMfjmP75Cdhb8k0ZjoGFP2dCob8oUMrSXgBkBqBu9Faksqj2mx93ekSzgaDpLX7%2BxU5lN7eMwInV18fe21ONxF9c2%2FEk8SfcPGW6xYIE8l27o3C07kmPBpFferM8muiYm47Ud4UDJhKzPjhddjaN87tqGagHmerYjfb7h6LmyIelUPuymUCKDIYTl0z8gqrojGBNKMClD10G9XPrgofLgioJdfCbmIj10%2FB2Zjo6zQ1XtFLLwGhKd7%2BlpA8chkHlD5fpf2IAYpr6luk2t60pVsMcRKFxosLAV2QUYGt4AIhfwxu3ANdfmAp9apAhL96Mn4N5jh#polycard_client=search-nordic&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB3593038716&sid=search,1,2025-06-16 03:14:48
19,cartucho hp 667 original,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-kit-preto-e-colorido/p/MLB38766141#polycard_client=search-nordic&searchVariation=MLB38766141&wid=MLB5383767248&position=3&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,1,2025-06-16 03:14:48
20,cartucho hp 667 original,https://www.mercadolivre.com.br/kit-cartucho-hp-667-667xl-deskjet-2776-preto-e-color/p/MLB36786137#polycard_client=search-nordic&searchVariation=MLB36786137&wid=MLB4020553339&position=30&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,1,2025-06-16 03:14:48
